english,spanish,english_length,spanish_length
i ll return at 6 30 .,vuelvo a las seis y media .,7,7
i said i would help you .,dije que iba a ayudarte .,7,6
the policeman s quick arrival surprised us .,la rápida llegada del policía nos sorprendió .,8,8
is tom in boston now ?,¿ está tom en boston ahora ?,6,7
he was the first to help her .,él fue el primero en ayudarla .,8,7
was he still here when you arrived ?,¿ él todavía estaba aquí cuando llegaste ?,8,8
tom wants someone to close the window .,tom quiere que alguien cierre la ventana .,8,8
tom didn t look happy at all .,tom no se veía para nada feliz .,8,8
she used to go to the movies on sundays .,solía ir al cine los domingos .,10,7
i want something better .,quiero algo mejor .,5,4
she is as thin as a broom stick .,ella está tan delgada como un palo de escoba .,9,10
it s chilly outside now .,ahora hace fresquito fuera .,6,5
we sell all kinds of clothes here .,aquí vendemos todo tipo de ropa .,8,7
tom said he couldn t do anything .,tom dijo que no podía hacer nada .,8,8
you ve come too early .,has venido demasiado pronto .,6,5
it s easily done .,es fácil de hacer .,5,5
he teaches us english .,él nos enseña inglés .,5,5
there s a call for you .,hay una llamada para ti .,7,6
that s a really ugly dog .,ese perro es realmente feo .,7,6
may i look at the menu ?,¿ podría ver el menú ?,7,6
let s share this money between the two of us .,compartamos este dinero entre los dos .,11,7
mary was a tomboy .,mary era un chicazo .,5,5
"evidently , tom didn t want to go .","claramente , tom no quería ir .",9,7
i promise you i won t stay out too late .,prometo que no me quedaré hasta tarde .,11,8
you are smarter than that .,eres más inteligente que eso .,6,6
the police could not control the mob .,la policía no pudo controlar a la turba .,8,9
did you have a good time last night ?,¿ se divirtieron ustedes anoche ?,9,6
i don t want to live alone .,no quiero vivir solo .,8,5
make sure everything goes smoothly .,asegúrate de que todo salga bien .,6,7
tom grew up bilingual .,tom creció siendo bilingüe .,5,5
tom likes lobster .,a tom le gusta la langosta .,4,7
it was because he was ill that he decided to return home .,la razón por la que decidió volver a casa es que estaba enfermo .,13,14
no one can tell what ll happen in the future .,nadie puede decir lo que pasará en el futuro .,11,10
the men s room is on the second floor .,el baño de hombres está en el segundo piso .,10,10
i said that i d come .,dije que vendría .,7,4
she advises me on technical matters .,ella me asesora en asuntos técnicos .,7,7
what train did you come on ?,¿ en qué tren vino usted ?,7,7
"honey , do you think i ve gained weight ?","cariño , ¿ crees que he engordado ?",10,8
i was expecting the worst .,me esperaba lo peor .,6,5
do black holes exist ?,¿ existen los agujeros negros ?,5,6
i thought you wanted a divorce .,pensé que querías el divorcio .,7,6
that s important .,eso es importante .,4,4
he asked a very good question .,él hizo una muy buena pregunta .,7,7
our fridge is broken .,nuestro refri está descompuesto .,5,5
grab your stuff .,coge tus cosas .,4,4
he has a black shirt .,tiene una camisa negra .,6,5
this is a beautiful country .,este es un bello país .,6,6
pay attention .,estén atentos .,3,3
she s the closest thing to family he has .,ella es lo más cercano que tiene a una familia .,10,11
we are in agreement on this subject .,estamos de acuerdo en esta materia .,8,7
do you like snow ?,¿ te gusta la nieve ?,5,6
you don t need to go very far .,no hace falta ir muy lejos .,9,7
i share this room with my sister .,comparto esta habitación con mi hermana .,8,7
i don t play the piano .,no toco el piano .,7,5
what kind of coins do you collect ?,¿ qué tipo de monedas coleccionan ustedes ?,8,8
i have to consult my lawyer .,debo consultar con mi abogado .,7,6
i don t know how long it takes to get to boston from here .,no sé cuánto se tarda en llegar a boston desde aquí .,15,12
he acted like a madman .,él actuó como un lunático .,6,6
a few minutes is all i ask .,tan solo pido unos pocos minutos .,8,7
would you like to talk to a lawyer ?,¿ querría hablar con un abogado ?,9,7
"the plane climbed to 4 , 000 feet .",el avión se elevó a 4 . 000 pies de altura .,9,12
i don t want to marry you .,no quiero casarme contigo .,8,5
were you here last week ?,¿ estuviste aquí la semana pasada ?,6,7
all the phones were ringing .,todos los teléfonos estaban sonando .,6,6
i m not scared .,no estoy asustado .,5,4
i don t have time for that .,no tengo tiempo para eso .,8,6
the dampness of the weather is bad for my health .,la humedad del tiempo me hace daño a la salud .,11,11
you re comparing apples and oranges .,estás comparando peras con manzanas .,7,6
what are you doing up this early ?,¿ qué haces despierto tan temprano ?,8,7
"when i really want something , i work hard for it .","cuando quiero algo de veras , trabajo duro para conseguirlo .",12,11
i know it s true .,sé que es verdad .,6,5
they murdered tom .,ellos asesinaron a tom .,4,5
tom said hello to mary .,tom saludó a mary .,6,5
"come on , we re almost there .","venga , ya casi hemos llegado .",8,7
i m not hungry right now .,ahora no tengo hambre .,7,5
i have to park my car here .,tengo que estacionar mi auto aquí .,8,7
what are you cooking ?,¿ qué están cocinando ?,5,5
they decided to pull down the old building .,decidieron derribar el viejo edificio .,9,6
i m a little afraid .,tengo un poco de miedo .,6,6
you won t believe this !,¡ no os lo vais a creer !,6,8
draw a line on your paper .,trazá una línea en el papel .,7,7
tom bit me .,tom me mordió .,4,4
i want to take a look inside .,quiero echar un vistazo adentro .,8,6
i don t want to go back to prison .,no quiero volver a la cárcel .,10,7
you shouldn t say that kind of thing when children are around .,no deberías decir esa clase de cosas cuando hay niños cerca .,13,12
you should be in bed .,deberías estar en la cama .,6,6
i can run .,puedo correr .,4,3
i thought you were going to harvard .,pensé que ibas a ir a harvard .,8,8
i m a man .,soy hombre .,5,3
tom kept calling mary .,tom seguía llamando a mary .,5,6
tom knows why mary decided not to go on the picnic with him .,tom sabe por qué mary decidió no ir al picnic con él .,14,13
that s something we ll improve on .,eso es algo que tenemos que mejorar .,8,8
did you tell anyone ?,¿ se lo contaste a alguien ?,5,7
there are a lot of earthquakes in japan .,en japón se producen muchos terremotos .,9,7
we have to get dressed .,tenemos que vestirnos .,6,4
the sum of our errors is called experience .,se llama experiencia a la suma de nuestros errores .,9,10
i ve been wanting to ask you out for a long time .,he estado esperando para invitarte a salir durante largo tiempo .,13,11
the accountant would not concede the mistake .,el contable no admitiría el error .,8,7
many children at this school are malnourished .,muchos niños en esta escuela están malnutridos .,8,8
we ve been waiting for your instructions .,estamos esperando que nos des instrucciones .,8,7
i hope to see you .,espero veros .,6,3
i raised tom .,crié a tom .,4,4
i ve never thought about becoming a teacher .,nunca he pensado en volverme profesor .,9,7
i ve never laughed so hard in my life .,en mi vida me he reído tanto .,10,8
we came back by way of boston .,volvimos a través de boston .,8,6
i won t buy this sweater .,no compraré este suéter .,7,5
someone is calling from outside .,alguien está llamando afuera .,6,5
you look awful .,tienes muy mala cara .,4,5
it s part of my job .,es parte de mi trabajo .,7,6
tom is more intelligent than me .,tom es más inteligente que yo .,7,7
would you rather have a cup of coffee or a cup of tea ?,¿ preferiríais tomaros una taza de café o una de té ?,14,12
it s been 10 days since my boyfriend went to jail .,han pasado diez días desde que mi novio quedó en prisión .,12,12
pick me up at 2 30 .,pasa por mí a las dos y media .,7,9
my father was there when the bomb exploded .,mi padre estaba allí cuando explotó la bomba .,9,9
the battle took place near the little bighorn river .,la batalla tuvo lugar cerca del río little bighorn .,10,10
"it s raining , but i would like to go out .","está lloviendo , pero me gustaría salir .",12,8
we re still eating .,todavía estamos comiendo .,5,4
i bought that car .,compré ese carro .,5,4
i want it to be a surprise .,quiero que sea sorpresa .,8,5
you guessed right .,adivinaste bien .,4,3
thank you for the beautiful roses .,¡ gracias por las hermosas rosas !,7,7
we ll talk on the way .,hablemos mientras vamos .,7,4
tom wanted to send a message .,tom quería mandar un mensaje .,7,6
stay home until six .,quédate en casa hasta las seis .,5,7
i took a taxi from the station to the hotel .,cogí el taxi para ir de la estación al hotel .,11,11
she stood by him whenever he was in trouble .,ella siempre le apoyó cuando tuvo problemas .,10,8
he said that that girl had kissed him .,él dijo que esa chica le había besado .,9,9
i have it here somewhere .,lo tengo aquí por algún lado .,6,7
tom leaned on the table .,tom se apoyó sobre la mesa .,6,7
save it till later .,guardalo para más tarde .,5,5
don t change your mind .,no cambies de idea .,6,5
do you want to see it ?,¿ quieres verlo ?,7,4
you re thinking only about money .,sólo piensas en el dinero .,7,6
smile and be happy .,sonríe y sé feliz .,5,5
do you drink ?,¿ bebe usted ?,4,4
not everyone noticed .,no todos se dieron cuenta .,4,6
i ve never hit anyone .,nunca le pegué a nadie .,6,6
the judge banged his gavel again .,el juez golpeó con su martillo de nuevo .,7,9
he is not old enough to vote .,él no tiene edad suficiente para votar .,8,8
we should confirm his intentions once more .,deberíamos corroborar sus intenciones una vez más .,8,8
where is the japanese embassy ?,¿ dónde está la embajada japonesa ?,6,7
her grandmother lived to be eighty eight years old .,su abuela vivió hasta los ochenta y ocho años .,10,10
a big spider was spinning a web .,una gran araña estaba tejiendo una tela .,8,8
is she your only daughter ?,¿ es ella tu única hija ?,6,7
they sell sugar and salt at that store .,en esa tienda venden azúcar y sal .,9,8
this is my school .,este es mi colegio .,5,5
troy was captured by the greeks .,troya fue tomada por los griegos .,7,7
i played tennis .,yo jugué al tenis .,4,5
can you keep the noise down ?,¿ puedes mantener bajo el ruido ?,7,7
they regarded him as the best doctor in town .,le consideraban el mejor médico de la ciudad .,10,9
we will play soccer after school .,jugaremos fútbol después de la escuela .,7,7
the worst thing about summer is the heat .,lo peor del verano es la calor .,9,8
i only saw him once .,sólo le vi una vez .,6,6
it takes many years of training to become an astronaut .,lleva muchos años de entrenamiento convertirse en un astronauta .,11,10
how old is your son ?,¿ qué edad tiene tu hijo ?,6,7
i have to hurry !,¡ tengo que apurarme !,5,5
i ll work on that .,trabajaré en eso .,6,4
tom didn t know mary had to help john .,tom no sabía que mary tenía que ayudar a john .,10,11
i want to kill somebody .,quiero matar a alguien .,6,5
i went to the department store to do some shopping yesterday .,ayer fui al gran almacén a hacer unas compras .,12,10
i do all the work .,yo hago todo el trabajo .,6,6
i really trust his ability .,realmente confío en su capacidad .,6,6
where s his book ? it s on the table .,¿ dónde está su libro ? está sobre la mesa .,11,11
we went to church .,nos fuimos a la iglesia .,5,6
you have little to gain and a lot to lose .,tienes poco que ganar y mucho que perder .,11,9
i wouldn t do it for all the money in the world .,no lo haría ni por todo el dinero en el mundo .,13,12
i don t think that he will come .,creo que no vendrá .,9,5
riding double on a bicycle is dangerous .,es peligroso andar de a dos en bicicleta .,8,9
